X;Y;Z
-0.00000534;-0.00000007;-0.00016038
-0.00000517;-0.00000003;-0.00016065
-0.00000499;-0.00000009;-0.00016096
-0.00000470;-0.00000024;-0.00016127
-0.00000454;-0.00000036;-0.00016168
-0.00000438;-0.00000043;-0.00016196
-0.00000427;-0.00000037;-0.00016195
-0.00000430;-0.00000027;-0.00016185
-0.00000438;0.00000001;-0.00016172
-0.00000443;0.00000037;-0.00016140
-0.00000438;0.00000073;-0.00016116
-0.00000434;0.00000095;-0.00016125
-0.00000430;0.00000099;-0.00016135
-0.00000432;0.00000085;-0.00016136
-0.00000439;0.00000069;-0.00016144
-0.00000452;0.00000069;-0.00016141
-0.00000462;0.00000083;-0.00016127
-0.00000460;0.00000100;-0.00016119
-0.00000455;0.00000113;-0.00016125
-0.00000448;0.00000117;-0.00016133
-0.00000442;0.00000112;-0.00016137
-0.00000442;0.00000103;-0.00016159
-0.00000431;0.00000096;-0.00016179
-0.00000424;0.00000103;-0.00016180
-0.00000412;0.00000117;-0.00016184
-0.00000403;0.00000135;-0.00016199
-0.00000396;0.00000153;-0.00016195
-0.00000391;0.00000166;-0.00016191
-0.00000391;0.00000182;-0.00016195
-0.00000387;0.00000196;-0.00016195
-0.00000383;0.00000212;-0.00016189
-0.00000375;0.00000227;-0.00016200
-0.00000360;0.00000239;-0.00016221
-0.00000352;0.00000252;-0.00016229
-0.00000340;0.00000258;-0.00016243
-0.00000327;0.00000263;-0.00016271
-0.00000322;0.00000267;-0.00016287
-0.00000315;0.00000278;-0.00016287
-0.00000307;0.00000287;-0.00016308
-0.00000296;0.00000298;-0.00016327
-0.00000291;0.00000314;-0.00016327
-0.00000290;0.00000336;-0.00016320
-0.00000298;0.00000363;-0.00016316
-0.00000307;0.00000391;-0.00016301
-0.00000314;0.00000411;-0.00016285
-0.00000326;0.00000419;-0.00016296
-0.00000326;0.00000426;-0.00016307
-0.00000328;0.00000431;-0.00016311
-0.00000324;0.00000435;-0.00016328
-0.00000315;0.00000450;-0.00016356
-0.00000306;0.00000462;-0.00016377
-0.00000294;0.00000474;-0.00016395
-0.00000284;0.00000474;-0.00016426
-0.00000280;0.00000470;-0.00016450
-0.00000276;0.00000466;-0.00016456
-0.00000282;0.00000468;-0.00016470
-0.00000279;0.00000474;-0.00016486
-0.00000284;0.00000479;-0.00016478
-0.00000296;0.00000490;-0.00016475
-0.00000311;0.00000505;-0.00016474
-0.00000326;0.00000525;-0.00016464
-0.00000332;0.00000543;-0.00016460
-0.00000330;0.00000551;-0.00016480
-0.00000331;0.00000546;-0.00016506
-0.00000323;0.00000533;-0.00016518
-0.00000326;0.00000518;-0.00016531
-0.00000330;0.00000518;-0.00016548
-0.00000336;0.00000522;-0.00016546
-0.00000339;0.00000533;-0.00016535
-0.00000350;0.00000541;-0.00016540
-0.00000364;0.00000553;-0.00016535
-0.00000382;0.00000562;-0.00016518
-0.00000396;0.00000570;-0.00016514
-0.00000408;0.00000579;-0.00016514
-0.00000412;0.00000589;-0.00016503
-0.00000412;0.00000602;-0.00016507
-0.00000412;0.00000607;-0.00016524
-0.00000415;0.00000606;-0.00016523
-0.00000418;0.00000595;-0.00016508
-0.00000426;0.00000587;-0.00016512
-0.00000443;0.00000579;-0.00016519
-0.00000454;0.00000577;-0.00016511
-0.00000464;0.00000574;-0.00016510
-0.00000478;0.00000575;-0.00016519
-0.00000493;0.00000581;-0.00016507
-0.00000507;0.00000590;-0.00016495
-0.00000521;0.00000602;-0.00016499
-0.00000533;0.00000603;-0.00016498
-0.00000542;0.00000597;-0.00016495
-0.00000551;0.00000585;-0.00016502
-0.00000553;0.00000567;-0.00016518
-0.00000562;0.00000557;-0.00016522
-0.00000561;0.00000551;-0.00016528
-0.00000562;0.00000551;-0.00016543
-0.00000567;0.00000558;-0.00016546
-0.00000571;0.00000570;-0.00016536
-0.00000582;0.00000582;-0.00016540
-0.00000587;0.00000590;-0.00016547
-0.00000593;0.00000595;-0.00016538
-0.00000598;0.00000598;-0.00016543
-0.00000602;0.00000599;-0.00016558
-0.00000603;0.00000597;-0.00016559
-0.00000605;0.00000598;-0.00016558
-0.00000611;0.00000597;-0.00016571
-0.00000615;0.00000595;-0.00016576
-0.00000617;0.00000598;-0.00016570
-0.00000619;0.00000601;-0.00016575
-0.00000622;0.00000598;-0.00016584
-0.00000625;0.00000586;-0.00016584
-0.00000627;0.00000577;-0.00016583
-0.00000630;0.00000567;-0.00016598
-0.00000629;0.00000563;-0.00016602
-0.00000625;0.00000565;-0.00016600
-0.00000621;0.00000571;-0.00016610
-0.00000618;0.00000577;-0.00016612
-0.00000625;0.00000581;-0.00016604
-0.00000627;0.00000581;-0.00016602
-0.00000633;0.00000573;-0.00016610
-0.00000638;0.00000566;-0.00016604
-0.00000642;0.00000566;-0.00016592
-0.00000653;0.00000569;-0.00016595
-0.00000657;0.00000563;-0.00016596
-0.00000665;0.00000558;-0.00016584
-0.00000667;0.00000553;-0.00016587
-0.00000665;0.00000553;-0.00016598
-0.00000657;0.00000554;-0.00016603
-0.00000649;0.00000551;-0.00016607
-0.00000646;0.00000539;-0.00016627
-0.00000641;0.00000526;-0.00016635
-0.00000645;0.00000507;-0.00016632
-0.00000646;0.00000497;-0.00016638
-0.00000650;0.00000495;-0.00016643
-0.00000657;0.00000501;-0.00016631
-0.00000665;0.00000509;-0.00016626
-0.00000673;0.00000506;-0.00016630
-0.00000678;0.00000502;-0.00016626
-0.00000685;0.00000498;-0.00016618
-0.00000691;0.00000499;-0.00016626
-0.00000691;0.00000503;-0.00016626
-0.00000693;0.00000511;-0.00016618
-0.00000698;0.00000525;-0.00016619
-0.00000697;0.00000537;-0.00016626
-0.00000697;0.00000547;-0.00016624
-0.00000699;0.00000554;-0.00016622
-0.00000698;0.00000553;-0.00016635
-0.00000690;0.00000541;-0.00016651
-0.00000682;0.00000525;-0.00016664
-0.00000667;0.00000510;-0.00016690
-0.00000655;0.00000505;-0.00016714
-0.00000645;0.00000517;-0.00016716
-0.00000639;0.00000546;-0.00016712
-0.00000643;0.00000581;-0.00016711
-0.00000651;0.00000609;-0.00016695
-0.00000670;0.00000627;-0.00016671
-0.00000690;0.00000634;-0.00016660
-0.00000710;0.00000630;-0.00016654
-0.00000729;0.00000626;-0.00016638
-0.00000742;0.00000625;-0.00016631
-0.00000758;0.00000631;-0.00016634
